Industry,Total,Totalct,Desc,Year,ag
Agriculture,0.6705954074375127,165,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining",2018,(165 : 0.67%)
Wholesale,1.186750660434871,292,Wholesale Trade,2018,(292 : 1.19%)
Transportation,1.5444015444015444,380,"Transportation,<br>Warehousing, Utilities",2018,(380 : 1.54%)
Information,2.3491160333265597,578,Information,2018,(578 : 2.35%)
Manufacturing,3.336720178825442,821,Manufacturing,2018,(821 : 3.34%)
Public Administration,3.568380410485674,878,Public Administration,2018,(878 : 3.57%)
Construction,3.6008941272099166,886,Construction,2018,(886 : 3.60%)
Finance & Insurance,3.885389148547043,956,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing",2018,(956 : 3.89%)
Other Services,6.031294452347084,1484,Other Services,2018,"(1,484 : 6.03%)"
Retail,9.51839057102215,2342,Retail Trade,2018,"(2,342 : 9.52%)"
Professional,12.39585450111766,3050,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services",2018,"(3,050 : 12.40%)"
Entertainment,13.598862019914652,3346,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services",2018,"(3,346 : 13.60%)"
Education & Healthcare,38.313350944929894,9427,"Educational Services,<br>Health Care & Social Assistance",2018,"(9,427 : 38.31%)"
Agriculture,0.5590187009853207,139,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining",2019,(139 : 0.56%)
Wholesale,0.7802131510154836,194,Wholesale Trade,2019,(194 : 0.78%)
Transportation,1.5443394329378646,384,"Transportation,<br>Warehousing, Utilities",2019,(384 : 1.54%)
Information,2.569877337623165,639,Information,2019,(639 : 2.57%)
Public Administration,3.2334606877136536,804,Public Administration,2019,(804 : 3.23%)
Construction,3.5833500904886386,891,Construction,2019,(891 : 3.58%)
Manufacturing,3.8246531268851798,951,Manufacturing,2019,(951 : 3.82%)
Finance & Insurance,4.279107178765333,1064,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing",2019,"(1,064 : 4.28%)"
Other Services,6.434747637241102,1600,Other Services,2019,"(1,600 : 6.43%)"
Retail,8.280715865674644,2059,Retail Trade,2019,"(2,059 : 8.28%)"
Professional,12.290367987130505,3056,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services",2019,"(3,056 : 12.29%)"
Entertainment,13.818620550975266,3436,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services",2019,"(3,436 : 13.82%)"
Education & Healthcare,38.80152825256385,9648,"Educational Services,<br>Health Care & Social Assistance",2019,"(9,648 : 38.80%)"
Agriculture,0.0932268655506465,23,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining",2020,(23 : 0.09%)
Wholesale,0.6971748206396173,172,Wholesale Trade,2020,(172 : 0.70%)
Transportation,1.8402172591301529,454,"Transportation,<br>Warehousing, Utilities",2020,(454 : 1.84%)
Public Administration,2.8170726764217098,695,Public Administration,2020,(695 : 2.82%)
Information,2.890032832070042,713,Information,2020,(713 : 2.89%)
Manufacturing,3.9114750111466905,965,Manufacturing,2020,(965 : 3.91%)
Construction,4.235742369583722,1045,Construction,2020,"(1,045 : 4.24%)"
Finance & Insurance,4.7748368529852865,1178,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing",2020,"(1,178 : 4.77%)"
Other Services,5.767905638198695,1423,Other Services,2020,"(1,423 : 5.77%)"
Retail,8.362044505694945,2063,Retail Trade,2020,"(2,063 : 8.36%)"
Entertainment,11.949252158404605,2948,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services",2020,"(2,948 : 11.95%)"
Professional,13.290908353937821,3279,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services",2020,"(3,279 : 13.29%)"
Education & Healthcare,39.370110656236065,9713,"Educational Services,<br>Health Care & Social Assistance",2020,"(9,713 : 39.37%)"
Agriculture,0.036689767631471665,9,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining",2021,(9 : 0.04%)
Wholesale,0.5014268242967794,123,Wholesale Trade,2021,(123 : 0.50%)
Public Administration,2.376681614349776,583,Public Administration,2021,(583 : 2.38%)
Transportation,2.3848348960456582,585,"Transportation,<br>Warehousing, Utilities",2021,(585 : 2.38%)
Information,2.5397472482674277,623,Information,2021,(623 : 2.54%)
Manufacturing,4.0358744394618835,990,Manufacturing,2021,(990 : 4.04%)
Construction,4.1051773338768855,1007,Construction,2021,"(1,007 : 4.11%)"
Other Services,4.7696697920913165,1170,Other Services,2021,"(1,170 : 4.77%)"
Finance & Insurance,5.328169588259274,1307,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing",2021,"(1,307 : 5.33%)"
Retail,8.088055442315532,1984,Retail Trade,2021,"(1,984 : 8.09%)"
Entertainment,13.008560945780676,3191,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services",2021,"(3,191 : 13.01%)"
Professional,13.807582551977172,3387,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services",2021,"(3,387 : 13.81%)"
Education & Healthcare,39.01752955564615,9571,"Educational Services,<br>Health Care & Social Assistance",2021,"(9,571 : 39.02%)"
Agriculture,0.2127215849843587,51,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining",2022,(51 : 0.21%)
Wholesale,0.5172054223149114,124,Wholesale Trade,2022,(124 : 0.52%)
Public Administration,2.394160583941606,574,Public Administration,2022,(574 : 2.39%)
Information,2.7570385818561003,661,Information,2022,(661 : 2.76%)
Transportation,2.877997914494265,690,"Transportation,<br>Warehousing, Utilities",2022,(690 : 2.88%)
Manufacturing,3.6913451511991657,885,Manufacturing,2022,(885 : 3.69%)
Construction,3.7831074035453596,907,Construction,2022,(907 : 3.78%)
Other Services,4.18769551616267,1004,Other Services,2022,"(1,004 : 4.19%)"
Finance & Insurance,5.2721584984358705,1264,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing",2022,"(1,264 : 5.27%)"
Retail,7.820646506777893,1875,Retail Trade,2022,"(1,875 : 7.82%)"
Entertainment,12.275286757038582,2943,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services",2022,"(2,943 : 12.28%)"
Professional,15.07820646506778,3615,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services",2022,"(3,615 : 15.08%)"
Education & Healthcare,39.13242961418144,9382,"Educational Services,<br>Health Care & Social Assistance",2022,"(9,382 : 39.13%)"
